category,description,recommendation,standard,price
אבן ושיש,"חוסר נוטפים באדן אבן חיצוני — אדן אבן חיצוני ללא חריץ נוטפים בתחתיתו, מה שגורם למים לזרום לאורך הקיר ולגרום לכתמי רטיבות ונזק","חריצת חריץ נוטפים בתחתית האדן באמצעות מסור יהלום, או החלפת האדן","ת""י 2378 — אדני חלון חיצוניים מאבן חייבים לכלול חריץ נוטפים בתחתיתם",₪ 250
אבן ושיש,חללים מתחת לאבן שיש מדרגות — אבני שיש במדרגות עם חללים מתחתיהן. גורם לרעש (צליל חלול בהליכה) ולסיכון לשבירת האבן תחת עומס,"הזרקת דבק אפוקסי דרך קידוחים קטנים למילוי החללים, או פירוק והדבקה מחדש","ת""י 2378 — אבן מדרגות חייבת להיות מודבקת על כיסוי דבק מלא (100%) ללא חללים",₪ 500
אבן ושיש,"אף מדרגה אבן בולט או חד — אף (קצה) מדרגת אבן שאינו מעובד כראוי — חד, בולט, או לא מעוגל. מהווה סכנת מעידה ופציעה","עיגול או שיפוע קצה המדרגה באמצעות ליטוש מקצועי, או התקנת פרופיל אף מדרגה","ת""י 2378 — אף מדרגה חייב להיות מעוגל או משופע למניעת סכנת מעידה",₪ 150
אבן ושיש,אבן משתלבת (חיצוני) שוקעת או בולטת — אבני משתלבות בחניה או בשביל גישה שאינן במפלס אחיד — חלקן שוקעות וחלקן בולטות. מעיד על תשתית חול לא מהודקת,"הרמת האבנים באזור הבעייתי, השלמת והידוק שכבת החול, הנחה מחדש עם הידוק",NULL,₪ 80
אינסטלציה (מים וביוב),"נזילה מצנרת אספקת מים קרים — נזילת מים מצנרת אספקת מים קרים בנקודות חיבור או לאורך הצנרת. עלולה לגרום לנזקי רטיבות בקירות ובתקרות, ולהתפתחות עובש","לאתר את מקור הנזילה, לנתק את אספקת המים, לתקן או להחליף את הקטע הפגום ולבצע בדיקת לחץ חוזרת","ת""י 1205 חלק 1 — מערכת אספקת המים חייבת לעמוד בבדיקת לחץ של 1.5 פעמים מלחץ העבודה המרבי, ולא פחות מ-10 אטמוספרות, למשך שעתיים ללא ירידת לחץ.","₪ 1,200"
אינסטלציה (מים וביוב),נזילה מצנרת אספקת מים חמים — נזילת מים מצנרת אספקת מים חמים. נזילה ממערכת מים חמים חמורה יותר בשל הסיכון לכוויות ונזק מואץ לחומרי בניין,"לאתר את מקור הנזילה, לתקן או להחליף את הקטע הפגום, לבדוק תקינות בידוד תרמי של הצנרת, ולבצע בדיקת לחץ","ת""י 1205 חלק 1 — צנרת מים חמים חייבת לעמוד בבדיקת לחץ זהה לצנרת מים קרים, ובנוסף לעמוד בטמפרטורות עבודה עד 80°C.","₪ 1,500"
אינסטלציה (מים וביוב),"לחץ מים נמוך מהנדרש — לחץ המים בנקודות הקצה (ברזים, מקלחות) נמוך מהנדרש בתקן. גורם לזרימה חלשה ולתפקוד לקוי של מערכות כגון מקלחות ומדיחי כלים","לבדוק את קוטר הצנרת, לוודא היעדר חסימות, לבדוק תקינות משאבת לחץ (אם קיימת), ובמידת הצורך להתקין משאבת הגברת לחץ","ת""י 1205 חלק 1 — לחץ המים המינימלי בנקודת הצריכה הרחוקה ביותר לא יפחת מ-1 אטמוספרה (0.1 מגה-פסקל). לחץ מרבי לא יעלה על 5 אטמוספרות.","₪ 3,000"
אינסטלציה (מים וביוב),"היעדר מפסק מים ראשי או שסתום ניתוק — לא הותקן שסתום ניתוק (ברז ראשי) בכניסת אספקת המים לדירה, או שהשסתום אינו נגיש או אינו תקין","להתקין שסתום כדורי בכניסת המים לדירה, במקום נגיש ומסומן","ת""י 1205 חלק 1 — יש להתקין שסתום ניתוק בכניסת המים לכל יחידת דיור, במקום נגיש, המאפשר סגירה מלאה של אספקת המים.",₪ 600
אינסטלציה (מים וביוב),"היעדר מפסק מים נקודתי לכלי סניטרי — חסר שסתום ניתוק נקודתי (אנגל) בחיבור לכלי סניטרי (אסלה, כיור, מכונת כביסה). לא ניתן לסגור מים לכלי ספציפי ללא ניתוק כל הדירה",להתקין ברז אנגל לכל כלי סניטרי בהתאם לתקן,"ת""י 1205 חלק 1 — יש להתקין שסתום ניתוק נפרד לכל כלי סניטרי לצורך תחזוקה ותיקון.",₪ 350
אינסטלציה (מים וביוב),רעש מצנרת – פטישי מים (water hammer) — רעשי חבטות או רעידות בצנרת בעת סגירת ברזים או שסתומים. תופעת פטישי מים (water hammer) הנגרמת מעצירה פתאומית של זרימה,"להתקין בולמי זעזועים (water hammer arrestors) בנקודות הקצה, לבדוק קיבוע צנרת ולהוסיף תופסני צנרת","ת""י 1205 חלק 1 — יש למנוע תופעת פטישי מים באמצעות התקנת בולמי זעזועים (water hammer arrestors) או האטת הסגירה.",₪ 800
אינסטלציה (מים וביוב),"צנרת לא מקובעת – חסרים תופסנים — צנרת מים או ביוב שאינה מקובעת כראוי לקיר או לתקרה באמצעות תופסנים, גורמת לרעשים, רעידות ועלולה להיסדק","להתקין תופסני צנרת (pipe clamps) בהתאם לתקן, במרווחים הנדרשים ועם בידוד אקוסטי","ת""י 1205 חלק 1 — צנרת תקובע לאלמנטים קשיחים במבנה באמצעות תופסנים מתאימים, במרווחים שלא יעלו על 1.5 מ' לצנרת אופקית ו-2 מ' לצנרת אנכית.",₪ 500
אינסטלציה (מים וביוב),"היעדר בידוד תרמי לצנרת מים חמים — צנרת מים חמים ללא בידוד תרמי (כיסוי מבודד), גורם לאיבוד חום, בזבוז אנרגיה, ועלול לגרום לעיבוי על הצנרת",לעטוף את צנרת המים החמים בבידוד תרמי (שרוול מבודד) בעובי הנדרש לפי קוטר הצנרת,"ת""י 1205 חלק 1 — צנרת מים חמים חייבת בבידוד תרמי בעובי מינימלי בהתאם לקוטר הצנרת, למניעת איבוד חום.",₪ 80
אינסטלציה (מים וביוב),"דוד שמש – נזילה או התקנה לקויה — נזילה מדוד השמש, מצנרת העלייה/ירידה לקולטים, או התקנה שאינה עומדת בדרישות התקן (חוסר שסתום ביטחון, חוסר אוורור)","לתקן את הנזילה, להתקין שסתומי ביטחון חסרים, לבדוק תקינות הצנרת מהקולטים לדוד ובחזרה","ת""י 579 — דוד שמש יותקן עם שסתום ביטחון (שסתום לחץ), שסתום חד-כיווני, ומערכת ניקוז לעודפי לחץ. חיבור לפי הוראות היצרן.","₪ 2,000"
אינסטלציה (מים וביוב),"חימום מים חשמלי (בויילר) – היעדר שסתום ביטחון — מחמם מים חשמלי (בויילר) מותקן ללא שסתום ביטחון (שסתום לחץ ותרמוסטטי), מהווה סכנת פיצוץ","להתקין שסתום ביטחון (T&P valve) תקני, עם צנרת ניקוז לרצפה או לנקודת ניקוז בטוחה","ת""י 1596 — חובה להתקין שסתום ביטחון על כל מחמם מים חשמלי, המשחרר לחץ עודף בלחץ של 6 אטמוספרות ובטמפרטורה של 93°C.",₪ 500
אינסטלציה (מים וביוב),"מחמם מים (בויילר) – התקנה לא בטוחה — בויילר מותקן באופן לא בטוח – ללא עיגון תקני לקיר, ללא מגש איסוף נזילות, או בסמיכות למתקנים חשמליים","לעגן את הבויילר בבורגי הרחבה מתאימים לקיר, להתקין מגש איסוף עם ניקוז, ולוודא מרחק מספיק ממתקנים חשמליים","ת""י 1596 — מחמם מים יותקן על קיר חזק מספיק לשאת את משקלו המלא, עם עיגון מתאים, ומגש ניקוז מתחתיו.",₪ 800
אינסטלציה (מים וביוב),"מד מים – נזילה או התקנה לקויה — נזילה ממד המים הדירתי, התקנה לא תקינה, או חוסר נגישות למד המים","לתקן את הנזילה, לוודא שסתומי ניתוק תקינים, ולהבטיח נגישות למד המים","ת""י 1205 חלק 1 — מד מים יותקן במקום נגיש לקריאה ותחזוקה, עם שסתומי ניתוק משני צידיו.",₪ 700
אינסטלציה (מים וביוב),"היעדר מניעת זרימה חוזרת (backflow prevention) — חסר מתקן למניעת זרימה חוזרת (שסתום חד-כיווני) במערכת אספקת המים, מהווה סיכון בריאותי של זיהום מי השתייה",להתקין שסתום חד-כיווני (check valve) או מפריד ואקום בנקודות הנדרשות,"ת""י 1205 חלק 1 — יש להתקין אמצעי למניעת זרימה חוזרת בכל נקודת חיבור שקיים בה סיכון לזיהום מי השתייה (הפרש גובה מינימלי או שסתום).",₪ 600
אינסטלציה (מים וביוב),"צנרת מים חוצה קיר ללא אטימה — צנרת מים העוברת דרך קיר או רצפה ללא שרוול מגן (sleeve) ואטימה מתאימה, מאפשרת מעבר מים ולחות",להתקין שרוול מגן (sleeve) ולאטום את המרווח בחומר איטום גמיש,"ת""י 1205 חלק 1 — צנרת העוברת דרך קיר או רצפה תוחדר בתוך שרוול מגן, והמרווח ביניהם יאטם בחומר גמיש.",₪ 400
אינסטלציה (מים וביוב),"צנרת פוליאתילן (פקס) – קיפול או כיפוף חד — צנרת PEX מקופלת או מכופפת בזווית חדה מדי, מצמצמת את חתך הזרימה ועלולה להיסדק לאורך זמן","להחליף את קטע הצנרת המקופל, להתקין מחדש עם רדיוס כיפוף תקני, או להשתמש בפיטינג זווית","ת""י 1205 חלק 1 — רדיוס כיפוף מינימלי של צנרת PEX: 8 פעמים קוטר הצנרת. אין לקפל או לכופף בזווית חדה.",₪ 800
אינסטלציה (מים וביוב),"ערבוב חומרי צנרת לא תואמים (קורוזיה גלוונית) — חיבור ישיר בין צנרת נחושת לצנרת פלדה מגולוונת ללא מפריד דיאלקטרי, גורם לקורוזיה גלוונית ולנזילות",להתקין מפריד דיאלקטרי (dielectric union) בין חומרי הצנרת השונים,"ת""י 1205 חלק 1 — אין לחבר ישירות בין מתכות שונות ללא מפריד דיאלקטרי או אבזר מתאים למניעת קורוזיה גלוונית.",₪ 500
אינסטלציה (מים וביוב),"פילטר (מסנן) מים ראשי – חסר או לא תקין — לא הותקן מסנן מים ראשי בכניסת המים לדירה, או שהמסנן סתום ודורש ניקוי/החלפה","להתקין מסנן מים ראשי (פילטר Y או פילטר רשת) בכניסת המים לדירה, לאחר מד המים",NULL,₪ 500
אינסטלציה (מים וביוב),"מוביל מים גמיש (צינור חיבור) פגום או מנופח — צינור חיבור גמיש (flexible hose) לברז, אסלה, או מכשיר חשמלי מנופח, סדוק, או חלוד בחיבורים. סיכון גבוה להצפה","להחליף מיידית את המוביל הגמיש הפגום בצינור חדש תקני (נירוסטה קלועה), ולבדוק תקינות כל המובילים הגמישים בדירה",NULL,₪ 250
אינסטלציה (מים וביוב),"וונטוזה (שסתום שחרור אוויר) חסרה או לא תקינה — וונטוזה (שסתום שחרור אוויר) חסרה בנקודה הגבוהה ביותר של מערכת המים, גורם לכיסי אוויר ולהפרעה בזרימה",להתקין וונטוזה אוטומטית בנקודה הגבוהה ביותר של מערכת הצנרת,"ת""י 1205 חלק 1 — יש להתקין שסתום שחרור אוויר (וונטוזה) בנקודות הגבוהות של מערכת אספקת המים.",₪ 350
אינסטלציה (מים וביוב),נזילה מצנרת מים — נזילת מים מצנרת גלויה או סמויה. עלולה לגרום לנזקי רטיבות,"איתור מקור הנזילה, תיקון או החלפת הצנרת הפגומה","ת""י 1205 — מערכת אינסטלציה חייבת להיות אטומה לחלוטין","₪ 1,200"
אינסטלציה (מים וביוב),"ברז מטפטף / לא אוטם — ברז שמטפטף גם כשסגור, או שלא אוטם כראוי",החלפת אטם / קרמי / ברז שלם לפי הצורך,NULL,₪ 500
אינסטלציה (מים וביוב),"סיפון חסר או לא תקין – ריח ביוב — סיפון (מחסום ריח) חסר, לא מותקן, פגום או יבש, וגורם לחדירת ריחות ביוב לתוך הדירה דרך נקודת הניקוז","להתקין סיפון תקני עם עומק מחסום מים של 50 מ""מ לפחות, לוודא אטימות כל החיבורים","ת""י 1205 חלק 2 — כל כלי סניטרי יחובר לסיפון עם מחסום מים בעומק מינימלי של 50 מ""מ. אין לחבר כלי סניטרי לביוב ללא סיפון.",₪ 500
אינסטלציה (מים וביוב),"סיפון רצפתי חסום או ניקוז איטי — סיפון רצפתי (במקלחת, במרפסת) חסום חלקית או מלא, גורם להצטברות מים על הרצפה ולניקוז איטי","לנקות את הסיפון מפסולת, לפתוח חסימות בצנרת, לוודא שיפוע תקין של הרצפה לכיוון הסיפון","ת""י 1205 חלק 2 — סיפון רצפתי יאפשר ניקוז חופשי של מים, רשת הסיפון תהיה ניתנת להסרה לצורך ניקוי.",₪ 400
אינסטלציה (מים וביוב),"שיפוע ניקוז לא תקין – מים עומדים על רצפה — רצפת חדר רחצה או מקלחת ללא שיפוע מספיק לכיוון הסיפון, גורם להצטברות מים (שלוליות) על הרצפה","לבצע יציקת שיפוע מתקנת על הרצפה הקיימת וריצוף מחדש, או התקנת ערוץ ניקוז ליניארי","ת""י 1205 חלק 2 — רצפה רטובה (חדר מקלחת) חייבת בשיפוע מינימלי של 1.5% לכיוון נקודת הניקוז.","₪ 5,000"
אינסטלציה (מים וביוב),"צנרת ביוב ללא שיפוע תקני — צנרת הביוב מותקנת ללא שיפוע מספיק או עם שיפוע הפוך (counter-slope), גורם לחסימות חוזרות ולעליית מי ביוב","לפרק את קטע הצנרת הבעייתי, להתקין מחדש בשיפוע הנדרש, ולבצע בדיקת זרימה","ת""י 1205 חלק 2 — צנרת ביוב אופקית בקוטר עד 100 מ""מ: שיפוע מינימלי 2%. קוטר מעל 100 מ""מ: שיפוע מינימלי 1%.","₪ 3,000"
אינסטלציה (מים וביוב),"חסימה בצנרת ביוב ראשית — חסימה בצנרת ביוב ראשית של הדירה, גורמת לעליית מי שפכים בכלים סניטריים או הצפה","לבצע שטיפת לחץ (ג'טינג) לצנרת הביוב, לבדוק במצלמה אנדוסקופית, לתקן או להחליף קטע פגום","ת""י 1205 חלק 2 — מערכת הביוב חייבת לאפשר זרימה חופשית. יש להתקין פקקי ניקוי בנקודות נגישות.","₪ 1,500"
אינסטלציה (מים וביוב),"היעדר פקק ניקוי בצנרת ביוב — לא הותקנו פקקי ניקוי (access points) בצנרת הביוב במקומות הנדרשים, מה שמקשה על טיפול בחסימות עתידיות","להתקין פקקי ניקוי בנקודות הנדרשות בהתאם לתקן, במקומות נגישים","ת""י 1205 חלק 2 — יש להתקין פקקי ניקוי בכל שינוי כיוון של צנרת הביוב, בסוף כל קו אופקי, ובמרחק מרבי של 15 מ' בין פקק לפקק.",₪ 600
אינסטלציה (מים וביוב),"צנרת PVC ביוב – חיבור לא תקין — חיבור לקוי בצנרת PVC ביוב – שימוש בדבק לא מתאים, חיבור לא מלא, או חוסר אטימות בנקודות חיבור","לפרק את החיבור הלקוי, לנקות את המשטחים, להדביק מחדש בדבק PVC מתאים, ולבצע בדיקת אטימות","ת""י 1205 חלק 2 — חיבורי צנרת ביוב PVC יבוצעו בדבק מתאים לסוג הצנרת, עם חדירה מלאה של הצנרת לתוך האבזר.",₪ 800
אינסטלציה (מים וביוב),"צנרת ביוב – קוטר לא מספיק — צנרת ביוב בקוטר קטן מהנדרש לכמות הכלים הסניטריים המחוברים אליה, גורם לחסימות תכופות",להחליף את קטע הצנרת בקוטר מתאים בהתאם לתקן ולכמות הכלים הסניטריים המחוברים,"ת""י 1205 חלק 2 — קוטר צנרת ביוב מינימלי: אסלה – 100 מ""מ, כיור – 40 מ""מ, מקלחת – 50 מ""מ, קו ראשי – 100 מ""מ.","₪ 2,500"
אינסטלציה (מים וביוב),"אוורור מערכת ביוב חסר או לקוי — מערכת הביוב ללא אוורור תקין (vent pipe), גורם לשאיבת מחסום המים מהסיפונים, רעשי גרגור, וחדירת ריחות ביוב","להתקין צנרת אוורור בקוטר מתאים, המתחברת לעמוד הביוב ועולה לגג המבנה, או להתקין שסתום אוורור (Air Admittance Valve)","ת""י 1205 חלק 2 — כל עמוד ביוב אנכי יאוורר לגג המבנה. צנרת האוורור לא תהיה קטנה מ-50 מ""מ ותגיע לפחות 50 ס""מ מעל הגג.","₪ 2,000"
אינסטלציה (מים וביוב),"שסתום אוורור (AAV) לא תקין — שסתום אוורור (Air Admittance Valve) לא עובד, סתום, או מותקן במיקום שגוי, אינו מאפשר כניסת אוויר למערכת הביוב","להחליף את שסתום האוורור בשסתום חדש תקין, ולהתקין בגובה ובמיקום הנכונים","ת""י 1205 חלק 2 — שסתום אוורור יותקן מעל לגובה הגלישה של הכלי הסניטרי הגבוה ביותר המחובר לקו, במקום מאוורר.",₪ 350
אינסטלציה (מים וביוב),"מכסה בור ביקורת ביוב – חסר או פגום — מכסה בור ביקורת (שוחת ביוב) חסר, שבור, לא אטום, או לא מפולס עם הרצפה/קרקע","להחליף את המכסה הפגום במכסה חדש תקני, לוודא אטימות ופילוס","ת""י 1205 חלק 2 — בורות ביקורת יהיו עם מכסים אטומים, בחוזק מספיק, ונגישים לתחזוקה.",₪ 800
אינסטלציה (מים וביוב),"גלישת מים מאמבטיה/מקלחת לחדרים סמוכים — מים מחדר הרחצה/מקלחת חודרים לחדרים סמוכים בשל היעדר מפתן, איטום לקוי, או שיפוע שגוי","להתקין מפתן בכניסה לחדר הרטוב, לבדוק ולתקן איטום רצפה, ולוודא שיפוע נכון לכיוון הסיפון","ת""י 1205 חלק 2 — חדרים רטובים חייבים במפתן או הפרש גובה מול חדרים יבשים, ובאיטום רצפה תקני למניעת חדירת מים.","₪ 2,500"
אינסטלציה (מים וביוב),"ניקוז מזגן – חיבור ישיר לביוב ללא סיפון — ניקוז עיבוי מזגן מחובר ישירות לצנרת ביוב ללא סיפון, גורם לחדירת ריחות ביוב דרך היחידה הפנימית","להתקין סיפון ייעודי לצנרת ניקוז עיבוי המזגן, לפני החיבור למערכת הביוב","ת""י 1205 חלק 2 — כל חיבור למערכת הביוב חייב לעבור דרך סיפון עם מחסום ריח.",₪ 400
אינסטלציה (מים וביוב),"מרזב/צנרת ניקוז מרפסת – שיפוע לא תקין — רצפת המרפסת ללא שיפוע מספיק לניקוז מי גשם, מים עומדים על המרפסת וחודרים לדירה","לבצע יציקת שיפוע מתקנת, להתקין ריצוף עם שיפוע תקני, ולוודא ניקוז תקין לנקודת היציאה","ת""י 1205 חלק 2 — מרפסות חשופות חייבות בשיפוע מינימלי של 1.5% לכיוון נקודת ניקוז, עם חיבור תקין למערכת ניקוז גשם.","₪ 4,000"
אינסטלציה (מים וביוב),"משאבת ייחוץ (סמפ) – חסרה או לא תקינה — בדירות קרקע או מרתפים – משאבת ייחוץ חסרה, לא מחוברת, או לא פועלת, סיכון להצפה","להתקין או לתקן משאבת ייחוץ עם שסתום חד-כיווני, לבדוק חיבור חשמל וצף הפעלה","ת""י 1205 חלק 2 — בכל מקום שבו נקודת הניקוז נמצאת מתחת לגובה הביוב העירוני, יש להתקין משאבת ייחוץ עם שסתום חד-כיווני.","₪ 5,000"
אינסטלציה (מים וביוב),ניקוז איטי במקלחת — מים מתנקזים לאט במקלחת — עלול לנבוע מחוסר שיפוע או חסימה בצנרת,"בדיקת שיפוע, פתיחת סתימה, תיקון שיפוע אם נדרש","ת""י 1205 — ניקוז מקלחת חייב להתבצע תוך זמן סביר",₪ 800
אינסטלציה (מים וביוב),חוסר שיפוע בניקוז מרפסת — מרפסת ללא שיפוע מספיק לניקוז — מים נשארים על המשטח,תיקון שיפוע ריצוף לכיוון ניקוז,"ת""י 1515.3 — שיפוע מינימלי לניקוז: 1.5%",₪ 500
כלים סניטריים,"התקנה לקויה של אינטרפוץ (מערבל מקלחת) — אינטרפוץ מותקן שלא בגובה הנדרש, בולט מהקיר, לא מפולס, או שיש דליפה מסביבו. חיבורי המים חמים וקרים עשויים להיות מחוברים הפוך","לפרק את האינטרפוץ, לתקן את עמדת הצנרת בקיר, להתקין מחדש בגובה ובמיקום הנכונים, ולוודא חיבור תקין ללא דליפות","ת""י 1205 חלק 2 — אינטרפוץ יותקן בגובה 100-110 ס""מ מרצפת המקלחת, מפולס, צמוד לקיר, כשהחיבור החם בצד שמאל (בהסתכלות חזיתית).","₪ 1,500"
כלים סניטריים,חיבור מים חמים וקרים הפוך באינטרפוץ/מערבל — חיבורי המים החמים והקרים מחוברים בצורה הפוכה – כיוון סיבוב הידית אינו תואם לטמפרטורת המים בפועל,להחליף את חיבורי הצנרת החמה והקרה כך שיתאימו לתקן ולסימון על הברז,"ת""י 1205 חלק 2 — חיבור מים חמים בצד שמאל וקרים בצד ימין (בהסתכלות חזיתית). סיבוב הידית שמאלה = חם, ימינה = קר.",₪ 800
כלים סניטריים,"ברז מטבח/כיור רופף או לא יציב — ברז הכיור במטבח או בחדר הרחצה רופף, נע ממקומו, או לא מהודק כראוי לכיור/משטח","להדק את אום החיזוק מתחת לכיור, להחליף אטם בסיס הברז במידת הצורך, ולוודא יציבות מלאה","ת""י 1205 חלק 2 — כל כלי סניטרי וברז יותקנו באופן יציב וחזק, ללא תזוזה, בהתאם להוראות היצרן.",₪ 350
כלים סניטריים,"נזילה מברז – טפטוף מתמשך — ברז מטפטף גם במצב סגור. בזבוז מים, רעש מטריד, ועלול לגרום לכתמי אבנית על הכיור","להחליף קרטוש (cartridge) של הברז, או את הברז כולו אם מדובר בדגם ישן או פגום","ת""י 1205 חלק 2 — ברזים חייבים להיות אטומים לחלוטין במצב סגור. אין לאפשר טפטוף או דליפה.",₪ 500
כלים סניטריים,"אסלה רופפת – אינה מקובעת לרצפה — האסלה נעה ממקומה, לא מקובעת כראוי לרצפה או לקיר (אסלה תלויה). עלולה לגרום לדליפת מים מהחיבור לביוב","להדק את ברגי הקיבוע של האסלה לרצפה, להחליף אטם שעווה (wax ring) בחיבור לביוב, ולאטום בסיליקון","ת""י 1205 חלק 2 — כלים סניטריים יקובעו באופן יציב ובטוח, ללא תנועה, בהתאם להוראות היצרן ולסוג הקיבוע.",₪ 600
כלים סניטריים,"ניקוז איטי באסלה – שטיפה לא מספקת — האסלה אינה מתנקזת כראוי, השטיפה חלשה או חלקית, המים עולים ויורדים באיטיות","לבדוק חסימות בצנרת הביוב, לבדוק תקינות מנגנון ההדחה בניאגרה, לנקות או להחליף חלקים פנימיים","ת""י 1205 חלק 2 — מנגנון ההדחה חייב לספק נפח מים מספיק לניקוי יעיל של האסלה בשטיפה אחת (6/3 ליטר במנגנון דו-כמותי).",₪ 500
כלים סניטריים,נזילה מניאגרה (מיכל הדחה) — נזילת מים מתמדת מהניאגרה לתוך האסלה (מים זורמים ללא הפסקה) או דליפה חיצונית מהמיכל,"להחליף את מנגנון הניאגרה הפנימי (שסתום מצוף ושסתום פריקה), לבדוק אטימות חיבורי המים","ת""י 1205 חלק 2 — מנגנון ההדחה חייב להיות אטום ולעצור זרימת מים לאחר סיום מחזור ההדחה.",₪ 450
כלים סניטריים,"כיור/כיור רחצה סדוק או פגום — סדק, שבר, או פגם בכיור המטבח או כיור חדר הרחצה. פגם אסתטי ופוטנציאל לדליפת מים",להחליף את הכיור הפגום בכיור חדש תקין ולחבר מחדש את הצנרת,"ת""י 1205 חלק 2 — כלים סניטריים יסופקו ויותקנו ללא פגמים, סדקים, שברים או פגיעה בציפוי.","₪ 2,000"
כלים סניטריים,"אמבטיה – אטימה לקויה בחיבור לקיר — אמבטיה שאינה אטומה כראוי בחיבור לקיר, מים חודרים מאחורי האמבטיה וגורמים לנזקי רטיבות","להסיר את האיטום הישן, לנקות ולייבש את המשטח, ולמרוח סיליקון סניטרי איכותי עמיד לעובש","ת""י 1205 חלק 2 — חיבור האמבטיה לקיר חייב להיות אטום למים באמצעות חומר איטום גמיש (סיליקון סניטרי) למניעת חדירת מים.",₪ 400
כלים סניטריים,"מקלחון – נזילה מדלת/מחיצת זכוכית — נזילת מים מדלת המקלחון או ממחיצת הזכוכית, גורמת להצפת מים מחוץ לתא המקלחת","להחליף רצועות איטום (seals) של דלת המקלחון, לכוונן את הדלת, או לתקן את פרופיל האלומיניום",NULL,₪ 800
כלים סניטריים,"ראש מקלחת (דוש) – לחץ נמוך או סתימה — ראש המקלחת מפזר מים בצורה לא אחידה, זרימה חלשה, או חלק מהנחירים סתומים בשל אבנית","לנקות את ראש המקלחת מאבנית (השרייה בחומץ), או להחליף בראש מקלחת חדש",NULL,₪ 300
כלים סניטריים,"חיבור מכונת כביסה – ללא סיפון וללא ברז ניתוק — נקודת חיבור מכונת הכביסה ללא סיפון (חיבור ישיר לביוב), ללא ברז ניתוק נפרד, או עם צנרת ניקוז לא מותאמת","להתקין סיפון תקני, ברז ניתוק נפרד (אנגל), ונקודת ניקוז בקוטר 50 מ""מ לפחות","ת""י 1205 חלק 2 — חיבור מכונת כביסה חייב לכלול סיפון עם מחסום ריח, ברז ניתוק נפרד למים, וניקוז בקוטר מתאים.",₪ 800
כלים סניטריים,"חיבור מדיח כלים – ללא סיפון וללא מפסק — נקודת חיבור מדיח הכלים ללא סיפון, ללא ברז ניתוק, או ללא לולאה עילית (high loop) בצנרת הניקוז","להתקין סיפון ולולאה עילית לצנרת הניקוז, להוסיף ברז ניתוק נפרד","ת""י 1205 חלק 2 — חיבור מדיח כלים חייב לכלול סיפון, ברז ניתוק, וצנרת ניקוז עם לולאה עילית למניעת זרימה חוזרת.",₪ 600
כלים סניטריים,"אסלה תלויה – מסגרת הרכבה (סטלז') רופפת — מסגרת ההרכבה של אסלה תלויה (concealed cistern frame) רופפת, גורמת לתנודות באסלה ולסיכון בטיחותי","לחזק את עיגון מסגרת ההרכבה לקיר ולרצפה, להדק את כל הברגים, ולוודא יציבות מלאה","ת""י 1205 חלק 2 — מסגרת הרכבה לאסלה תלויה חייבת לשאת עומס מינימלי של 400 ק""ג ולהיות מעוגנת לרצפה ולקיר.","₪ 1,500"
כלים סניטריים,"כפתור הפעלה (לחצן) ניאגרה סמויה – לא תקין — כפתור ההפעלה של ניאגרה סמויה (concealed cistern) לא עובד, תקוע, או אינו מפעיל את שני נפחי השטיפה (3/6 ליטר)","להחליף את מנגנון ההפעלה הפנימי של הניאגרה, לכוונן את מוטות ההפעלה, ולבדוק תקינות שני מצבי השטיפה",NULL,₪ 700
כלים סניטריים,"התקנת כלי סניטרי בגובה לא תקני — כיור, אסלה, או כלי סניטרי אחר מותקן בגובה שאינו עומד בדרישות הנגישות או התקן (גבוה/נמוך מדי)",לפרק ולהתקין מחדש את הכלי הסניטרי בגובה התקני המתאים,"ת""י 1205 חלק 2 — גובהות התקנה מומלצים: כיור רחצה – 80-85 ס""מ, אסלה – 40-42 ס""מ, כיור מטבח – 85-90 ס""מ (מידות מדף עליון).","₪ 1,200"
כלים סניטריים,"סיליקון סניטרי פגום או מעופש סביב כלים סניטריים — סיליקון סניטרי סביב כיור, אמבטיה, אסלה, או משטח עבודה שחור מעובש, סדוק, מתקלף, או חסר","להסיר את הסיליקון הישן בשלמותו, לנקות ולחטא את המשטח, ולמרוח סיליקון סניטרי חדש עמיד לעובש",NULL,₪ 350
כלים סניטריים,"ויסות טמפרטורה לקוי – מים רותחים מברז — טמפרטורת המים החמים מהברז גבוהה מדי (מעל 50°C), מהווה סכנת כוויות, במיוחד לילדים ולקשישים","לכוונן את הטרמוסטט של דוד/בויילר, או להתקין מערבל תרמוסטטי (TMV) למניעת טמפרטורות מסוכנות","ת""י 1205 חלק 1 — טמפרטורת מים חמים בנקודות שימוש לא תעלה על 50°C. יש להתקין מערבל תרמוסטטי (TMV) במידת הצורך.",₪ 800
כלים סניטריים,אסלה לא יציבה / רופפת — אסלה שלא מחוברת יציב לרצפה — מתנדנדת בשימוש,"חיזוק חיבור אסלה לרצפה, החלפת ברגי עיגון",NULL,₪ 500
