index,category,title,description_clean,recommendation,cost_text,standard,standard_ref,severity,raw_description
89,אינסטלציה (מים וביוב),ערבוב חומרי צנרת לא תואמים (קורוזיה גלוונית),"חיבור ישיר בין צנרת נחושת לצנרת פלדה מגולוונת ללא מפריד דיאלקטרי, גורם לקורוזיה גלוונית ולנזילות",להתקין מפריד דיאלקטרי (dielectric union) בין חומרי הצנרת השונים,₪150-₪500 (ליחידה),"ת""י 1205 חלק 1 — אין לחבר ישירות בין מתכות שונות ללא מפריד דיאלקטרי או אבזר מתאים למניעת קורוזיה גלוונית.","ת""י 1205 חלק 1 — אין לחבר ישירות בין מתכות שונות ללא מפריד דיאלקטרי או אבזר מתאים למניעת קורוזיה גלוונית.",medium,"**ערבוב חומרי צנרת לא תואמים (קורוזיה גלוונית)** — חיבור ישיר בין צנרת נחושת לצנרת פלדה מגולוונת ללא מפריד דיאלקטרי, גורם לקורוזיה גלוונית ולנזילות.. המלצה: להתקין מפריד דיאלקטרי (dielectric union) בין חומרי הצנרת השונים.. עלות משוערת: ₪150-₪500 (ליחידה)"
90,אינסטלציה (מים וביוב),פילטר (מסנן) מים ראשי – חסר או לא תקין,"לא הותקן מסנן מים ראשי בכניסת המים לדירה, או שהמסנן סתום ודורש ניקוי/החלפה","להתקין מסנן מים ראשי (פילטר Y או פילטר רשת) בכניסת המים לדירה, לאחר מד המים",₪150-₪500 (ליחידה),NULL,NULL,low,"**פילטר (מסנן) מים ראשי – חסר או לא תקין** — לא הותקן מסנן מים ראשי בכניסת המים לדירה, או שהמסנן סתום ודורש ניקוי/החלפה.. המלצה: להתקין מסנן מים ראשי (פילטר Y או פילטר רשת) בכניסת המים לדירה, לאחר מד המים.. עלות משוערת: ₪150-₪500 (ליחידה)"
91,אינסטלציה (מים וביוב),מוביל מים גמיש (צינור חיבור) פגום או מנופח,"צינור חיבור גמיש (flexible hose) לברז, אסלה, או מכשיר חשמלי מנופח, סדוק, או חלוד בחיבורים. סיכון גבוה להצפה","להחליף מיידית את המוביל הגמיש הפגום בצינור חדש תקני (נירוסטה קלועה), ולבדוק תקינות כל המובילים הגמישים בדירה",₪80-₪250 (ליחידה),NULL,NULL,medium,"**מוביל מים גמיש (צינור חיבור) פגום או מנופח** — צינור חיבור גמיש (flexible hose) לברז, אסלה, או מכשיר חשמלי מנופח, סדוק, או חלוד בחיבורים. סיכון גבוה להצפה.. המלצה: להחליף מיידית את המוביל הגמיש הפגום בצינור חדש תקני (נירוסטה קלועה), ולבדוק תקינות כל המובילים הגמישים בדירה.. עלות משוערת: ₪80-₪250 (ליחידה)"
92,אינסטלציה (מים וביוב),וונטוזה (שסתום שחרור אוויר) חסרה או לא תקינה,"וונטוזה (שסתום שחרור אוויר) חסרה בנקודה הגבוהה ביותר של מערכת המים, גורם לכיסי אוויר ולהפרעה בזרימה",להתקין וונטוזה אוטומטית בנקודה הגבוהה ביותר של מערכת הצנרת,₪100-₪350 (ליחידה),"ת""י 1205 חלק 1 — יש להתקין שסתום שחרור אוויר (וונטוזה) בנקודות הגבוהות של מערכת אספקת המים.","ת""י 1205 חלק 1 — יש להתקין שסתום שחרור אוויר (וונטוזה) בנקודות הגבוהות של מערכת אספקת המים.",low,"**וונטוזה (שסתום שחרור אוויר) חסרה או לא תקינה** — וונטוזה (שסתום שחרור אוויר) חסרה בנקודה הגבוהה ביותר של מערכת המים, גורם לכיסי אוויר ולהפרעה בזרימה.. המלצה: להתקין וונטוזה אוטומטית בנקודה הגבוהה ביותר של מערכת הצנרת.. עלות משוערת: ₪100-₪350 (ליחידה)"
93,אינסטלציה (מים וביוב),נזילה מצנרת מים,נזילת מים מצנרת גלויה או סמויה. עלולה לגרום לנזקי רטיבות,"איתור מקור הנזילה, תיקון או החלפת הצנרת הפגומה",₪300-₪1200 (ליחידה),"ת""י 1205 — מערכת אינסטלציה חייבת להיות אטומה לחלוטין","ת""י 1205 — מערכת אינסטלציה חייבת להיות אטומה לחלוטין",medium,"**נזילה מצנרת מים** — נזילת מים מצנרת גלויה או סמויה. עלולה לגרום לנזקי רטיבות.. המלצה: איתור מקור הנזילה, תיקון או החלפת הצנרת הפגומה. עלות משוערת: ₪300-₪1200 (ליחידה)"
94,אינסטלציה (מים וביוב),ברז מטפטף / לא אוטם,"ברז שמטפטף גם כשסגור, או שלא אוטם כראוי",החלפת אטם / קרמי / ברז שלם לפי הצורך,₪100-₪500 (ליחידה),NULL,NULL,low,"**ברז מטפטף / לא אוטם** — ברז שמטפטף גם כשסגור, או שלא אוטם כראוי.. המלצה: החלפת אטם / קרמי / ברז שלם לפי הצורך. עלות משוערת: ₪100-₪500 (ליחידה)"
95,אינסטלציה (מים וביוב),סיפון חסר או לא תקין – ריח ביוב,"סיפון (מחסום ריח) חסר, לא מותקן, פגום או יבש, וגורם לחדירת ריחות ביוב לתוך הדירה דרך נקודת הניקוז","להתקין סיפון תקני עם עומק מחסום מים של 50 מ""מ לפחות, לוודא אטימות כל החיבורים",₪150-₪500 (ליחידה),"ת""י 1205 חלק 2 — כל כלי סניטרי יחובר לסיפון עם מחסום מים בעומק מינימלי של 50 מ""מ. אין לחבר כלי סניטרי לביוב ללא סיפון.","ת""י 1205 חלק 2 — כל כלי סניטרי יחובר לסיפון עם מחסום מים בעומק מינימלי של 50 מ""מ. אין לחבר כלי סניטרי לביוב ללא סיפון.",medium,"**סיפון חסר או לא תקין – ריח ביוב** — סיפון (מחסום ריח) חסר, לא מותקן, פגום או יבש, וגורם לחדירת ריחות ביוב לתוך הדירה דרך נקודת הניקוז.. המלצה: להתקין סיפון תקני עם עומק מחסום מים של 50 מ""מ לפחות, לוודא אטימות כל החיבורים.. עלות משוערת: ₪150-₪500 (ליחידה)"
96,אינסטלציה (מים וביוב),סיפון רצפתי חסום או ניקוז איטי,"סיפון רצפתי (במקלחת, במרפסת) חסום חלקית או מלא, גורם להצטברות מים על הרצפה ולניקוז איטי","לנקות את הסיפון מפסולת, לפתוח חסימות בצנרת, לוודא שיפוע תקין של הרצפה לכיוון הסיפון",₪100-₪400 (ליחידה),"ת""י 1205 חלק 2 — סיפון רצפתי יאפשר ניקוז חופשי של מים, רשת הסיפון תהיה ניתנת להסרה לצורך ניקוי.","ת""י 1205 חלק 2 — סיפון רצפתי יאפשר ניקוז חופשי של מים, רשת הסיפון תהיה ניתנת להסרה לצורך ניקוי.",medium,"**סיפון רצפתי חסום או ניקוז איטי** — סיפון רצפתי (במקלחת, במרפסת) חסום חלקית או מלא, גורם להצטברות מים על הרצפה ולניקוז איטי.. המלצה: לנקות את הסיפון מפסולת, לפתוח חסימות בצנרת, לוודא שיפוע תקין של הרצפה לכיוון הסיפון.. עלות משוערת: ₪100-₪400 (ליחידה)"
97,אינסטלציה (מים וביוב),שיפוע ניקוז לא תקין – מים עומדים על רצפה,"רצפת חדר רחצה או מקלחת ללא שיפוע מספיק לכיוון הסיפון, גורם להצטברות מים (שלוליות) על הרצפה","לבצע יציקת שיפוע מתקנת על הרצפה הקיימת וריצוף מחדש, או התקנת ערוץ ניקוז ליניארי",₪2000-₪5000 (ליחידה),"ת""י 1205 חלק 2 — רצפה רטובה (חדר מקלחת) חייבת בשיפוע מינימלי של 1.5% לכיוון נקודת הניקוז.","ת""י 1205 חלק 2 — רצפה רטובה (חדר מקלחת) חייבת בשיפוע מינימלי של 1.5% לכיוון נקודת הניקוז.",medium,"**שיפוע ניקוז לא תקין – מים עומדים על רצפה** — רצפת חדר רחצה או מקלחת ללא שיפוע מספיק לכיוון הסיפון, גורם להצטברות מים (שלוליות) על הרצפה.. המלצה: לבצע יציקת שיפוע מתקנת על הרצפה הקיימת וריצוף מחדש, או התקנת ערוץ ניקוז ליניארי.. עלות משוערת: ₪2000-₪5000 (ליחידה)"
98,אינסטלציה (מים וביוב),צנרת ביוב ללא שיפוע תקני,"צנרת הביוב מותקנת ללא שיפוע מספיק או עם שיפוע הפוך (counter-slope), גורם לחסימות חוזרות ולעליית מי ביוב","לפרק את קטע הצנרת הבעייתי, להתקין מחדש בשיפוע הנדרש, ולבצע בדיקת זרימה","₪800-₪3000 (למ""א)","ת""י 1205 חלק 2 — צנרת ביוב אופקית בקוטר עד 100 מ""מ: שיפוע מינימלי 2%. קוטר מעל 100 מ""מ: שיפוע מינימלי 1%.","ת""י 1205 חלק 2 — צנרת ביוב אופקית בקוטר עד 100 מ""מ: שיפוע מינימלי 2%. קוטר מעל 100 מ""מ: שיפוע מינימלי 1%.",medium,"**צנרת ביוב ללא שיפוע תקני** — צנרת הביוב מותקנת ללא שיפוע מספיק או עם שיפוע הפוך (counter-slope), גורם לחסימות חוזרות ולעליית מי ביוב.. המלצה: לפרק את קטע הצנרת הבעייתי, להתקין מחדש בשיפוע הנדרש, ולבצע בדיקת זרימה.. עלות משוערת: ₪800-₪3000 (למ""א)"
99,אינסטלציה (מים וביוב),חסימה בצנרת ביוב ראשית,"חסימה בצנרת ביוב ראשית של הדירה, גורמת לעליית מי שפכים בכלים סניטריים או הצפה","לבצע שטיפת לחץ (ג'טינג) לצנרת הביוב, לבדוק במצלמה אנדוסקופית, לתקן או להחליף קטע פגום",₪300-₪1500 (ליחידה),"ת""י 1205 חלק 2 — מערכת הביוב חייבת לאפשר זרימה חופשית. יש להתקין פקקי ניקוי בנקודות נגישות.","ת""י 1205 חלק 2 — מערכת הביוב חייבת לאפשר זרימה חופשית. יש להתקין פקקי ניקוי בנקודות נגישות.",medium,"**חסימה בצנרת ביוב ראשית** — חסימה בצנרת ביוב ראשית של הדירה, גורמת לעליית מי שפכים בכלים סניטריים או הצפה.. המלצה: לבצע שטיפת לחץ (ג'טינג) לצנרת הביוב, לבדוק במצלמה אנדוסקופית, לתקן או להחליף קטע פגום.. עלות משוערת: ₪300-₪1500 (ליחידה)"
100,אינסטלציה (מים וביוב),היעדר פקק ניקוי בצנרת ביוב,"לא הותקנו פקקי ניקוי (access points) בצנרת הביוב במקומות הנדרשים, מה שמקשה על טיפול בחסימות עתידיות","להתקין פקקי ניקוי בנקודות הנדרשות בהתאם לתקן, במקומות נגישים",₪200-₪600 (ליחידה),"ת""י 1205 חלק 2 — יש להתקין פקקי ניקוי בכל שינוי כיוון של צנרת הביוב, בסוף כל קו אופקי, ובמרחק מרבי של 15 מ' בין פקק לפקק.","ת""י 1205 חלק 2 — יש להתקין פקקי ניקוי בכל שינוי כיוון של צנרת הביוב, בסוף כל קו אופקי, ובמרחק מרבי של 15 מ' בין פקק לפקק.",medium,"**היעדר פקק ניקוי בצנרת ביוב** — לא הותקנו פקקי ניקוי (access points) בצנרת הביוב במקומות הנדרשים, מה שמקשה על טיפול בחסימות עתידיות.. המלצה: להתקין פקקי ניקוי בנקודות הנדרשות בהתאם לתקן, במקומות נגישים.. עלות משוערת: ₪200-₪600 (ליחידה)"
101,אינסטלציה (מים וביוב),צנרת PVC ביוב – חיבור לא תקין,"חיבור לקוי בצנרת PVC ביוב – שימוש בדבק לא מתאים, חיבור לא מלא, או חוסר אטימות בנקודות חיבור","לפרק את החיבור הלקוי, לנקות את המשטחים, להדביק מחדש בדבק PVC מתאים, ולבצע בדיקת אטימות",₪200-₪800 (ליחידה),"ת""י 1205 חלק 2 — חיבורי צנרת ביוב PVC יבוצעו בדבק מתאים לסוג הצנרת, עם חדירה מלאה של הצנרת לתוך האבזר.","ת""י 1205 חלק 2 — חיבורי צנרת ביוב PVC יבוצעו בדבק מתאים לסוג הצנרת, עם חדירה מלאה של הצנרת לתוך האבזר.",medium,"**צנרת PVC ביוב – חיבור לא תקין** — חיבור לקוי בצנרת PVC ביוב – שימוש בדבק לא מתאים, חיבור לא מלא, או חוסר אטימות בנקודות חיבור.. המלצה: לפרק את החיבור הלקוי, לנקות את המשטחים, להדביק מחדש בדבק PVC מתאים, ולבצע בדיקת אטימות.. עלות משוערת: ₪200-₪800 (ליחידה)"
102,אינסטלציה (מים וביוב),צנרת ביוב – קוטר לא מספיק,"צנרת ביוב בקוטר קטן מהנדרש לכמות הכלים הסניטריים המחוברים אליה, גורם לחסימות תכופות",להחליף את קטע הצנרת בקוטר מתאים בהתאם לתקן ולכמות הכלים הסניטריים המחוברים,"₪500-₪2500 (למ""א)","ת""י 1205 חלק 2 — קוטר צנרת ביוב מינימלי: אסלה – 100 מ""מ, כיור – 40 מ""מ, מקלחת – 50 מ""מ, קו ראשי – 100 מ""מ.","ת""י 1205 חלק 2 — קוטר צנרת ביוב מינימלי: אסלה – 100 מ""מ, כיור – 40 מ""מ, מקלחת – 50 מ""מ, קו ראשי – 100 מ""מ.",medium,"**צנרת ביוב – קוטר לא מספיק** — צנרת ביוב בקוטר קטן מהנדרש לכמות הכלים הסניטריים המחוברים אליה, גורם לחסימות תכופות.. המלצה: להחליף את קטע הצנרת בקוטר מתאים בהתאם לתקן ולכמות הכלים הסניטריים המחוברים.. עלות משוערת: ₪500-₪2500 (למ""א)"
103,אינסטלציה (מים וביוב),אוורור מערכת ביוב חסר או לקוי,"מערכת הביוב ללא אוורור תקין (vent pipe), גורם לשאיבת מחסום המים מהסיפונים, רעשי גרגור, וחדירת ריחות ביוב","להתקין צנרת אוורור בקוטר מתאים, המתחברת לעמוד הביוב ועולה לגג המבנה, או להתקין שסתום אוורור (Air Admittance Valve)",₪500-₪2000 (ליחידה),"ת""י 1205 חלק 2 — כל עמוד ביוב אנכי יאוורר לגג המבנה. צנרת האוורור לא תהיה קטנה מ-50 מ""מ ותגיע לפחות 50 ס""מ מעל הגג.","ת""י 1205 חלק 2 — כל עמוד ביוב אנכי יאוורר לגג המבנה. צנרת האוורור לא תהיה קטנה מ-50 מ""מ ותגיע לפחות 50 ס""מ מעל הגג.",medium,"**אוורור מערכת ביוב חסר או לקוי** — מערכת הביוב ללא אוורור תקין (vent pipe), גורם לשאיבת מחסום המים מהסיפונים, רעשי גרגור, וחדירת ריחות ביוב.. המלצה: להתקין צנרת אוורור בקוטר מתאים, המתחברת לעמוד הביוב ועולה לגג המבנה, או להתקין שסתום אוורור (Air Admittance Valve).. עלות משוערת: ₪500-₪2000 (ליחידה)"
104,אינסטלציה (מים וביוב),שסתום אוורור (AAV) לא תקין,"שסתום אוורור (Air Admittance Valve) לא עובד, סתום, או מותקן במיקום שגוי, אינו מאפשר כניסת אוויר למערכת הביוב","להחליף את שסתום האוורור בשסתום חדש תקין, ולהתקין בגובה ובמיקום הנכונים",₪100-₪350 (ליחידה),"ת""י 1205 חלק 2 — שסתום אוורור יותקן מעל לגובה הגלישה של הכלי הסניטרי הגבוה ביותר המחובר לקו, במקום מאוורר.","ת""י 1205 חלק 2 — שסתום אוורור יותקן מעל לגובה הגלישה של הכלי הסניטרי הגבוה ביותר המחובר לקו, במקום מאוורר.",medium,"**שסתום אוורור (AAV) לא תקין** — שסתום אוורור (Air Admittance Valve) לא עובד, סתום, או מותקן במיקום שגוי, אינו מאפשר כניסת אוויר למערכת הביוב.. המלצה: להחליף את שסתום האוורור בשסתום חדש תקין, ולהתקין בגובה ובמיקום הנכונים.. עלות משוערת: ₪100-₪350 (ליחידה)"
105,אינסטלציה (מים וביוב),מכסה בור ביקורת ביוב – חסר או פגום,"מכסה בור ביקורת (שוחת ביוב) חסר, שבור, לא אטום, או לא מפולס עם הרצפה/קרקע","להחליף את המכסה הפגום במכסה חדש תקני, לוודא אטימות ופילוס",₪200-₪800 (ליחידה),"ת""י 1205 חלק 2 — בורות ביקורת יהיו עם מכסים אטומים, בחוזק מספיק, ונגישים לתחזוקה.","ת""י 1205 חלק 2 — בורות ביקורת יהיו עם מכסים אטומים, בחוזק מספיק, ונגישים לתחזוקה.",medium,"**מכסה בור ביקורת ביוב – חסר או פגום** — מכסה בור ביקורת (שוחת ביוב) חסר, שבור, לא אטום, או לא מפולס עם הרצפה/קרקע.. המלצה: להחליף את המכסה הפגום במכסה חדש תקני, לוודא אטימות ופילוס.. עלות משוערת: ₪200-₪800 (ליחידה)"
106,אינסטלציה (מים וביוב),גלישת מים מאמבטיה/מקלחת לחדרים סמוכים,"מים מחדר הרחצה/מקלחת חודרים לחדרים סמוכים בשל היעדר מפתן, איטום לקוי, או שיפוע שגוי","להתקין מפתן בכניסה לחדר הרטוב, לבדוק ולתקן איטום רצפה, ולוודא שיפוע נכון לכיוון הסיפון",₪500-₪2500 (ליחידה),"ת""י 1205 חלק 2 — חדרים רטובים חייבים במפתן או הפרש גובה מול חדרים יבשים, ובאיטום רצפה תקני למניעת חדירת מים.","ת""י 1205 חלק 2 — חדרים רטובים חייבים במפתן או הפרש גובה מול חדרים יבשים, ובאיטום רצפה תקני למניעת חדירת מים.",medium,"**גלישת מים מאמבטיה/מקלחת לחדרים סמוכים** — מים מחדר הרחצה/מקלחת חודרים לחדרים סמוכים בשל היעדר מפתן, איטום לקוי, או שיפוע שגוי.. המלצה: להתקין מפתן בכניסה לחדר הרטוב, לבדוק ולתקן איטום רצפה, ולוודא שיפוע נכון לכיוון הסיפון.. עלות משוערת: ₪500-₪2500 (ליחידה)"
107,אינסטלציה (מים וביוב),ניקוז מזגן – חיבור ישיר לביוב ללא סיפון,"ניקוז עיבוי מזגן מחובר ישירות לצנרת ביוב ללא סיפון, גורם לחדירת ריחות ביוב דרך היחידה הפנימית","להתקין סיפון ייעודי לצנרת ניקוז עיבוי המזגן, לפני החיבור למערכת הביוב",₪150-₪400 (ליחידה),"ת""י 1205 חלק 2 — כל חיבור למערכת הביוב חייב לעבור דרך סיפון עם מחסום ריח.","ת""י 1205 חלק 2 — כל חיבור למערכת הביוב חייב לעבור דרך סיפון עם מחסום ריח.",medium,"**ניקוז מזגן – חיבור ישיר לביוב ללא סיפון** — ניקוז עיבוי מזגן מחובר ישירות לצנרת ביוב ללא סיפון, גורם לחדירת ריחות ביוב דרך היחידה הפנימית.. המלצה: להתקין סיפון ייעודי לצנרת ניקוז עיבוי המזגן, לפני החיבור למערכת הביוב.. עלות משוערת: ₪150-₪400 (ליחידה)"
108,אינסטלציה (מים וביוב),מרזב/צנרת ניקוז מרפסת – שיפוע לא תקין,"רצפת המרפסת ללא שיפוע מספיק לניקוז מי גשם, מים עומדים על המרפסת וחודרים לדירה","לבצע יציקת שיפוע מתקנת, להתקין ריצוף עם שיפוע תקני, ולוודא ניקוז תקין לנקודת היציאה",₪1500-₪4000 (ליחידה),"ת""י 1205 חלק 2 — מרפסות חשופות חייבות בשיפוע מינימלי של 1.5% לכיוון נקודת ניקוז, עם חיבור תקין למערכת ניקוז גשם.","ת""י 1205 חלק 2 — מרפסות חשופות חייבות בשיפוע מינימלי של 1.5% לכיוון נקודת ניקוז, עם חיבור תקין למערכת ניקוז גשם.",medium,"**מרזב/צנרת ניקוז מרפסת – שיפוע לא תקין** — רצפת המרפסת ללא שיפוע מספיק לניקוז מי גשם, מים עומדים על המרפסת וחודרים לדירה.. המלצה: לבצע יציקת שיפוע מתקנת, להתקין ריצוף עם שיפוע תקני, ולוודא ניקוז תקין לנקודת היציאה.. עלות משוערת: ₪1500-₪4000 (ליחידה)"
109,אינסטלציה (מים וביוב),משאבת ייחוץ (סמפ) – חסרה או לא תקינה,"בדירות קרקע או מרתפים – משאבת ייחוץ חסרה, לא מחוברת, או לא פועלת, סיכון להצפה","להתקין או לתקן משאבת ייחוץ עם שסתום חד-כיווני, לבדוק חיבור חשמל וצף הפעלה",₪1500-₪5000 (ליחידה),"ת""י 1205 חלק 2 — בכל מקום שבו נקודת הניקוז נמצאת מתחת לגובה הביוב העירוני, יש להתקין משאבת ייחוץ עם שסתום חד-כיווני.","ת""י 1205 חלק 2 — בכל מקום שבו נקודת הניקוז נמצאת מתחת לגובה הביוב העירוני, יש להתקין משאבת ייחוץ עם שסתום חד-כיווני.",critical,"**משאבת ייחוץ (סמפ) – חסרה או לא תקינה** — בדירות קרקע או מרתפים – משאבת ייחוץ חסרה, לא מחוברת, או לא פועלת, סיכון להצפה.. המלצה: להתקין או לתקן משאבת ייחוץ עם שסתום חד-כיווני, לבדוק חיבור חשמל וצף הפעלה.. עלות משוערת: ₪1500-₪5000 (ליחידה)"
110,אינסטלציה (מים וביוב),ניקוז איטי במקלחת,מים מתנקזים לאט במקלחת — עלול לנבוע מחוסר שיפוע או חסימה בצנרת,"בדיקת שיפוע, פתיחת סתימה, תיקון שיפוע אם נדרש",₪200-₪800 (ליחידה),"ת""י 1205 — ניקוז מקלחת חייב להתבצע תוך זמן סביר","ת""י 1205 — ניקוז מקלחת חייב להתבצע תוך זמן סביר",medium,"**ניקוז איטי במקלחת** — מים מתנקזים לאט במקלחת — עלול לנבוע מחוסר שיפוע או חסימה בצנרת.. המלצה: בדיקת שיפוע, פתיחת סתימה, תיקון שיפוע אם נדרש. עלות משוערת: ₪200-₪800 (ליחידה)"
111,אינסטלציה (מים וביוב),חוסר שיפוע בניקוז מרפסת,מרפסת ללא שיפוע מספיק לניקוז — מים נשארים על המשטח,תיקון שיפוע ריצוף לכיוון ניקוז,"₪150-₪500 (למ""ר)","ת""י 1515.3 — שיפוע מינימלי לניקוז: 1.5%","ת""י 1515.3 — שיפוע מינימלי לניקוז: 1.5%",medium,"**חוסר שיפוע בניקוז מרפסת** — מרפסת ללא שיפוע מספיק לניקוז — מים נשארים על המשטח.. המלצה: תיקון שיפוע ריצוף לכיוון ניקוז. עלות משוערת: ₪150-₪500 (למ""ר)"
112,כלים סניטריים,התקנה לקויה של אינטרפוץ (מערבל מקלחת),"אינטרפוץ מותקן שלא בגובה הנדרש, בולט מהקיר, לא מפולס, או שיש דליפה מסביבו. חיבורי המים חמים וקרים עשויים להיות מחוברים הפוך","לפרק את האינטרפוץ, לתקן את עמדת הצנרת בקיר, להתקין מחדש בגובה ובמיקום הנכונים, ולוודא חיבור תקין ללא דליפות",₪400-₪1500 (ליחידה),"ת""י 1205 חלק 2 — אינטרפוץ יותקן בגובה 100-110 ס""מ מרצפת המקלחת, מפולס, צמוד לקיר, כשהחיבור החם בצד שמאל (בהסתכלות חזיתית).","ת""י 1205 חלק 2 — אינטרפוץ יותקן בגובה 100-110 ס""מ מרצפת המקלחת, מפולס, צמוד לקיר, כשהחיבור החם בצד שמאל (בהסתכלות חזיתית).",medium,"**התקנה לקויה של אינטרפוץ (מערבל מקלחת)** — אינטרפוץ מותקן שלא בגובה הנדרש, בולט מהקיר, לא מפולס, או שיש דליפה מסביבו. חיבורי המים חמים וקרים עשויים להיות מחוברים הפוך.. המלצה: לפרק את האינטרפוץ, לתקן את עמדת הצנרת בקיר, להתקין מחדש בגובה ובמיקום הנכונים, ולוודא חיבור תקין ללא דליפות.. עלות משוערת: ₪400-₪1500 (ליחידה)"
113,כלים סניטריים,חיבור מים חמים וקרים הפוך באינטרפוץ/מערבל,חיבורי המים החמים והקרים מחוברים בצורה הפוכה – כיוון סיבוב הידית אינו תואם לטמפרטורת המים בפועל,להחליף את חיבורי הצנרת החמה והקרה כך שיתאימו לתקן ולסימון על הברז,₪200-₪800 (ליחידה),"ת""י 1205 חלק 2 — חיבור מים חמים בצד שמאל וקרים בצד ימין (בהסתכלות חזיתית). סיבוב הידית שמאלה = חם, ימינה = קר.","ת""י 1205 חלק 2 — חיבור מים חמים בצד שמאל וקרים בצד ימין (בהסתכלות חזיתית). סיבוב הידית שמאלה = חם, ימינה = קר.",medium,**חיבור מים חמים וקרים הפוך באינטרפוץ/מערבל** — חיבורי המים החמים והקרים מחוברים בצורה הפוכה – כיוון סיבוב הידית אינו תואם לטמפרטורת המים בפועל.. המלצה: להחליף את חיבורי הצנרת החמה והקרה כך שיתאימו לתקן ולסימון על הברז.. עלות משוערת: ₪200-₪800 (ליחידה)
114,כלים סניטריים,ברז מטבח/כיור רופף או לא יציב,"ברז הכיור במטבח או בחדר הרחצה רופף, נע ממקומו, או לא מהודק כראוי לכיור/משטח","להדק את אום החיזוק מתחת לכיור, להחליף אטם בסיס הברז במידת הצורך, ולוודא יציבות מלאה",₪100-₪350 (ליחידה),"ת""י 1205 חלק 2 — כל כלי סניטרי וברז יותקנו באופן יציב וחזק, ללא תזוזה, בהתאם להוראות היצרן.","ת""י 1205 חלק 2 — כל כלי סניטרי וברז יותקנו באופן יציב וחזק, ללא תזוזה, בהתאם להוראות היצרן.",low,"**ברז מטבח/כיור רופף או לא יציב** — ברז הכיור במטבח או בחדר הרחצה רופף, נע ממקומו, או לא מהודק כראוי לכיור/משטח.. המלצה: להדק את אום החיזוק מתחת לכיור, להחליף אטם בסיס הברז במידת הצורך, ולוודא יציבות מלאה.. עלות משוערת: ₪100-₪350 (ליחידה)"
115,כלים סניטריים,נזילה מברז – טפטוף מתמשך,"ברז מטפטף גם במצב סגור. בזבוז מים, רעש מטריד, ועלול לגרום לכתמי אבנית על הכיור","להחליף קרטוש (cartridge) של הברז, או את הברז כולו אם מדובר בדגם ישן או פגום",₪100-₪500 (ליחידה),"ת""י 1205 חלק 2 — ברזים חייבים להיות אטומים לחלוטין במצב סגור. אין לאפשר טפטוף או דליפה.","ת""י 1205 חלק 2 — ברזים חייבים להיות אטומים לחלוטין במצב סגור. אין לאפשר טפטוף או דליפה.",low,"**נזילה מברז – טפטוף מתמשך** — ברז מטפטף גם במצב סגור. בזבוז מים, רעש מטריד, ועלול לגרום לכתמי אבנית על הכיור.. המלצה: להחליף קרטוש (cartridge) של הברז, או את הברז כולו אם מדובר בדגם ישן או פגום.. עלות משוערת: ₪100-₪500 (ליחידה)"
116,כלים סניטריים,אסלה רופפת – אינה מקובעת לרצפה,"האסלה נעה ממקומה, לא מקובעת כראוי לרצפה או לקיר (אסלה תלויה). עלולה לגרום לדליפת מים מהחיבור לביוב","להדק את ברגי הקיבוע של האסלה לרצפה, להחליף אטם שעווה (wax ring) בחיבור לביוב, ולאטום בסיליקון",₪200-₪600 (ליחידה),"ת""י 1205 חלק 2 — כלים סניטריים יקובעו באופן יציב ובטוח, ללא תנועה, בהתאם להוראות היצרן ולסוג הקיבוע.","ת""י 1205 חלק 2 — כלים סניטריים יקובעו באופן יציב ובטוח, ללא תנועה, בהתאם להוראות היצרן ולסוג הקיבוע.",medium,"**אסלה רופפת – אינה מקובעת לרצפה** — האסלה נעה ממקומה, לא מקובעת כראוי לרצפה או לקיר (אסלה תלויה). עלולה לגרום לדליפת מים מהחיבור לביוב.. המלצה: להדק את ברגי הקיבוע של האסלה לרצפה, להחליף אטם שעווה (wax ring) בחיבור לביוב, ולאטום בסיליקון.. עלות משוערת: ₪200-₪600 (ליחידה)"
117,כלים סניטריים,ניקוז איטי באסלה – שטיפה לא מספקת,"האסלה אינה מתנקזת כראוי, השטיפה חלשה או חלקית, המים עולים ויורדים באיטיות","לבדוק חסימות בצנרת הביוב, לבדוק תקינות מנגנון ההדחה בניאגרה, לנקות או להחליף חלקים פנימיים",₪150-₪500 (ליחידה),"ת""י 1205 חלק 2 — מנגנון ההדחה חייב לספק נפח מים מספיק לניקוי יעיל של האסלה בשטיפה אחת (6/3 ליטר במנגנון דו-כמותי).","ת""י 1205 חלק 2 — מנגנון ההדחה חייב לספק נפח מים מספיק לניקוי יעיל של האסלה בשטיפה אחת (6/3 ליטר במנגנון דו-כמותי).",medium,"**ניקוז איטי באסלה – שטיפה לא מספקת** — האסלה אינה מתנקזת כראוי, השטיפה חלשה או חלקית, המים עולים ויורדים באיטיות.. המלצה: לבדוק חסימות בצנרת הביוב, לבדוק תקינות מנגנון ההדחה בניאגרה, לנקות או להחליף חלקים פנימיים.. עלות משוערת: ₪150-₪500 (ליחידה)"
